,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
100,361656A,2008,Maple Leaf North-West Ground,Sri Lanka,Pakistan,52,1,67,3,18,5,137,9,Pakistan,field,King City,Pakistan
100,361656B,2008,Maple Leaf North-West Ground,Pakistan,Sri Lanka,31,1,61,5,49,0,141,6,Pakistan,field,King City,Pakistan
101,1201680A,2019,Indian Association Ground,Nepal,Zimbabwe,30,1,64,4,38,1,132,6,Nepal,bat,Singapore,Zimbabwe
101,1201680B,2019,Indian Association Ground,Zimbabwe,Nepal,39,4,67,1,27,0,133,5,Nepal,bat,Singapore,Zimbabwe
102,1310941A,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,47,0,67,4,43,3,157,7,Namibia,field,Bulawayo,Namibia
102,1310941B,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,48,1,81,1,32,1,161,3,Namibia,field,Bulawayo,Namibia
103,1332510A,2022,"Willowmoore Park, Benoni",Tanzania,Uganda,65,0,73,3,36,2,174,5,Uganda,field,Benoni,Uganda
103,1332510B,2022,"Willowmoore Park, Benoni",Uganda,Tanzania,46,1,75,0,54,0,175,1,Uganda,field,Benoni,Uganda
104,930585A,2015,Sheikh Zayed Stadium,Afghanistan,Oman,41,1,74,2,45,0,160,3,Oman,field,Abu Dhabi,Afghanistan
104,930585B,2015,Sheikh Zayed Stadium,Oman,Afghanistan,41,2,68,2,39,3,148,7,Oman,field,Abu Dhabi,Afghanistan
105,1332504A,2022,"Willowmoore Park, Benoni",Botswana,Mozambique,41,0,79,2,65,3,185,5,Mozambique,field,Benoni,Botswana
105,1332504B,2022,"Willowmoore Park, Benoni",Mozambique,Botswana,24,2,53,5,16,3,93,10,Mozambique,field,Benoni,Botswana
106,571150A,2012,Dubai International Cricket Stadium,Australia,Pakistan,42,0,103,3,23,4,168,7,Pakistan,field,,Australia
106,571150B,2012,Dubai International Cricket Stadium,Pakistan,Australia,21,4,39,3,14,2,74,9,Pakistan,field,,Australia
107,1282748A,2021,"Desert Springs Cricket Ground, Almeria",Italy,Germany,47,1,44,3,26,5,117,9,Germany,field,Almeria,Italy
107,1282748B,2021,"Desert Springs Cricket Ground, Almeria",Germany,Italy,21,1,51,4,44,0,116,5,Germany,field,Almeria,Italy
108,951351A,2016,Feroz Shah Kotla,England,Afghanistan,42,4,52,3,48,0,142,7,England,bat,Delhi,England
108,951351B,2016,Feroz Shah Kotla,Afghanistan,England,28,2,60,4,39,2,127,8,England,bat,Delhi,England
109,1284488A,2021,"West End Park International Cricket Stadium, Doha",Qatar,Bahrain,32,2,63,3,38,0,133,5,Bahrain,field,Doha,Bahrain
109,1284488B,2021,"West End Park International Cricket Stadium, Doha",Bahrain,Qatar,82,0,52,2,0,0,134,2,Bahrain,field,Doha,Bahrain
110,1237124A,2020,Newlands,South Africa,England,44,1,79,2,68,0,191,3,South Africa,bat,Cape Town,England
110,1237124B,2020,Newlands,England,South Africa,56,0,112,0,24,0,192,0,South Africa,bat,Cape Town,England
111,1142503A,2018,Sportpark Het Schootsveld,Ireland,Scotland,68,1,99,2,38,2,205,5,Ireland,bat,Deventer,Ireland
111,1142503B,2018,Sportpark Het Schootsveld,Scotland,Ireland,60,0,70,3,29,1,159,4,Ireland,bat,Deventer,Ireland
112,951345A,2016,M Chinnaswamy Stadium,Sri Lanka,West Indies,41,1,49,3,32,4,122,8,West Indies,field,Bangalore,West Indies
112,951345B,2016,M Chinnaswamy Stadium,West Indies,Sri Lanka,39,1,60,2,28,0,127,3,West Indies,field,Bangalore,West Indies
113,521217A,2011,Eden Gardens,India,England,32,3,59,3,29,3,120,9,India,bat,Kolkata,England
113,521217B,2011,Eden Gardens,England,India,28,1,78,2,15,0,121,3,India,bat,Kolkata,England
114,287853A,2007,New Wanderers Stadium,West Indies,South Africa,54,0,123,2,28,4,205,6,South Africa,field,Johannesburg,South Africa
114,287853B,2007,New Wanderers Stadium,South Africa,West Indies,59,1,121,1,28,0,208,2,South Africa,field,Johannesburg,South Africa
115,1187677A,2020,Eden Park,New Zealand,India,68,0,97,3,38,2,203,5,India,field,Auckland,India
115,1187677B,2020,Eden Park,India,New Zealand,65,1,100,3,39,0,204,4,India,field,Auckland,India
116,1327280A,2022,Dubai International Cricket Stadium,Pakistan,Sri Lanka,49,1,46,6,26,3,121,10,Sri Lanka,field,Dubai,Sri Lanka
116,1327280B,2022,Dubai International Cricket Stadium,Sri Lanka,Pakistan,37,3,70,1,17,1,124,5,Sri Lanka,field,Dubai,Sri Lanka
117,1199515A,2019,ICC Academy,Kenya,Bermuda,36,2,64,1,38,0,138,3,Kenya,bat,Dubai,Kenya
117,1199515B,2019,ICC Academy,Bermuda,Kenya,23,3,55,5,15,1,93,9,Kenya,bat,Dubai,Kenya
118,1007659A,2016,Harare Sports Club,India,Zimbabwe,29,3,64,1,45,2,138,6,Zimbabwe,field,,India
118,1007659B,2016,Harare Sports Club,Zimbabwe,India,40,1,57,1,38,2,135,4,Zimbabwe,field,,India
119,439510A,2010,Dubai International Cricket Stadium,Ireland,Netherlands,37,1,81,4,33,1,151,6,Ireland,bat,,Ireland
119,439510B,2010,Dubai International Cricket Stadium,Netherlands,Ireland,36,1,50,7,0,0,86,8,Ireland,bat,,Ireland
120,1199501A,2019,ICC Academy,Netherlands,Kenya,61,1,66,3,39,0,166,4,Netherlands,bat,Dubai,Netherlands
120,1199501B,2019,ICC Academy,Kenya,Netherlands,30,2,82,2,24,4,136,8,Netherlands,bat,Dubai,Netherlands
121,1275277A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,Luxembourg,49,3,80,2,27,5,156,10,Romania,bat,Ilfov County,Romania
121,1275277B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Luxembourg,Romania,34,3,52,5,37,1,123,9,Romania,bat,Ilfov County,Romania
122,426418A,2010,Sophia Gardens,Pakistan,England,23,4,48,3,18,3,89,10,Pakistan,bat,Cardiff,England
122,426418B,2010,Sophia Gardens,England,Pakistan,35,2,55,1,0,0,90,3,Pakistan,bat,Cardiff,England
123,440945A,2010,Dubai International Cricket Stadium,Pakistan,England,25,2,74,3,30,3,129,8,Pakistan,bat,,England
123,440945B,2010,Dubai International Cricket Stadium,England,Pakistan,25,3,84,0,21,0,130,3,Pakistan,bat,,England
124,1199529A,2019,Dubai International Cricket Stadium,Papua New Guinea,Singapore,61,1,78,3,41,0,180,4,Singapore,field,Dubai,Papua New Guinea
124,1199529B,2019,Dubai International Cricket Stadium,Singapore,Papua New Guinea,37,3,72,4,28,2,137,9,Singapore,field,Dubai,Papua New Guinea
125,1273148A,2021,Kerava National Cricket Ground,Finland,Sweden,34,1,59,2,48,3,141,6,Sweden,field,Kerava,Sweden
125,1273148B,2021,Kerava National Cricket Ground,Sweden,Finland,41,1,72,6,0,0,113,7,Sweden,field,Kerava,Sweden
126,1299585A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,United Arab Emirates,36,3,86,2,37,3,159,8,Ireland,bat,Al Amarat,United Arab Emirates
126,1299585B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Ireland,21,2,111,0,28,1,160,3,Ireland,bat,Al Amarat,United Arab Emirates
127,1197510A,2019,United Cricket Club Ground,Botswana,Namibia,33,1,30,5,22,1,85,7,Botswana,bat,Windhoek,Namibia
127,1197510B,2019,United Cricket Club Ground,Namibia,Botswana,32,2,54,0,0,0,86,2,Botswana,bat,Windhoek,Namibia
128,1144990A,2018,"Brisbane Cricket Ground, Woolloongabba",Australia,India,38,1,114,2,6,1,158,4,India,field,Brisbane,Australia
128,1144990B,2018,"Brisbane Cricket Ground, Woolloongabba",India,Australia,53,1,108,4,8,2,169,7,India,field,Brisbane,Australia
129,1283046A,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Botswana,16,1,35,8,0,0,51,9,Cameroon,bat,Kigali City,Botswana
129,1283046B,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Cameroon,54,1,0,0,0,0,54,1,Cameroon,bat,Kigali City,Botswana
130,1272097A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,58,2,58,2,45,1,161,5,New Zealand,bat,Dhaka,New Zealand
130,1272097B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,35,1,74,4,25,2,134,7,New Zealand,bat,Dhaka,New Zealand
131,1286670A,2021,"Coolidge Cricket Ground, Antigua",Canada,Belize,61,0,106,2,67,1,234,3,Canada,bat,Coolidge,Canada
131,1286670B,2021,"Coolidge Cricket Ground, Antigua",Belize,Canada,13,2,55,1,21,2,89,5,Canada,bat,Coolidge,Canada
132,1233975A,2021,Sky Stadium,Australia,New Zealand,47,0,65,3,30,4,142,7,Australia,bat,Wellington,New Zealand
132,1233975B,2021,Sky Stadium,New Zealand,Australia,51,0,92,2,0,0,143,2,Australia,bat,Wellington,New Zealand
133,743953A,2015,Old Trafford,England,New Zealand,60,1,85,4,46,2,191,7,England,bat,Manchester,England
133,743953B,2015,Old Trafford,New Zealand,England,73,2,61,6,1,2,135,10,England,bat,Manchester,England
134,1310174A,2022,Marsa Sports Club,Czech Republic,Gibraltar,61,0,65,4,58,1,184,5,Czech Republic,bat,Marsa,Czech Republic
134,1310174B,2022,Marsa Sports Club,Gibraltar,Czech Republic,54,3,66,3,24,2,144,8,Czech Republic,bat,Marsa,Czech Republic
135,1233961A,2020,McLean Park,New Zealand,Pakistan,47,2,81,2,45,3,173,7,Pakistan,field,Napier,Pakistan
135,1233961B,2020,McLean Park,Pakistan,New Zealand,47,1,90,1,40,4,177,6,Pakistan,field,Napier,Pakistan
136,1263165A,2021,"Providence Stadium, Guyana",Pakistan,West Indies,55,1,79,1,23,6,157,8,West Indies,field,Providence,Pakistan
136,1263165B,2021,"Providence Stadium, Guyana",West Indies,Pakistan,31,2,71,2,48,1,150,5,West Indies,field,Providence,Pakistan
137,1283091A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,24,2,65,5,35,1,124,8,Sierra Leone,field,Lagos,Nigeria
137,1283091B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,19,4,36,4,0,0,55,8,Sierra Leone,field,Lagos,Nigeria
138,660185A,2013,ICC Academy,Netherlands,Kenya,51,1,53,3,26,1,130,5,Netherlands,bat,Dubai,Netherlands
138,660185B,2013,ICC Academy,Kenya,Netherlands,10,5,73,3,18,0,101,8,Netherlands,bat,Dubai,Netherlands
139,914221A,2016,Eden Park,Pakistan,New Zealand,52,1,82,3,37,4,171,8,New Zealand,field,Auckland,Pakistan
139,914221B,2016,Eden Park,New Zealand,Pakistan,48,1,74,5,33,4,155,10,New Zealand,field,Auckland,Pakistan
140,1263159A,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,West Indies,72,1,82,4,35,1,189,6,Australia,bat,Gros Islet,Australia
140,1263159B,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Australia,75,1,58,4,52,1,185,6,Australia,bat,Gros Islet,Australia
141,1185316A,2020,The Wanderers Stadium,Australia,South Africa,70,1,85,3,41,2,196,6,South Africa,field,Johannesburg,Australia
141,1185316B,2020,The Wanderers Stadium,South Africa,Australia,38,3,51,6,0,0,89,9,South Africa,field,Johannesburg,Australia
142,1185317A,2020,St George's Park,South Africa,Australia,59,0,68,3,31,1,158,4,South Africa,bat,Port Elizabeth,South Africa
142,1185317B,2020,St George's Park,Australia,South Africa,54,1,73,2,19,3,146,6,South Africa,bat,Port Elizabeth,South Africa
143,1263158A,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,West Indies,45,1,64,2,32,2,141,5,Australia,bat,Gros Islet,West Indies
143,1263158B,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Australia,49,2,93,2,0,0,142,4,Australia,bat,Gros Islet,West Indies
144,682897A,2014,Shere Bangla National Stadium,Afghanistan,Bangladesh,36,3,34,3,2,2,72,8,Bangladesh,field,Mirpur,Bangladesh
144,682897B,2014,Shere Bangla National Stadium,Bangladesh,Afghanistan,36,0,42,0,0,0,78,0,Bangladesh,field,Mirpur,Bangladesh
145,1031665A,2017,Riverside Ground,West Indies,England,72,0,70,6,34,1,176,7,England,field,Chester-le-Street,West Indies
145,1031665B,2017,Riverside Ground,England,West Indies,64,2,63,5,28,3,155,10,England,field,Chester-le-Street,West Indies
146,1310175A,2022,Marsa Sports Club,Hungary,Bulgaria,37,3,89,1,32,3,158,7,Bulgaria,field,Marsa,Hungary
146,1310175B,2022,Marsa Sports Club,Bulgaria,Hungary,59,2,75,2,19,5,153,9,Bulgaria,field,Marsa,Hungary
147,1233960A,2020,Seddon Park,Pakistan,New Zealand,33,3,86,2,44,1,163,6,Pakistan,bat,Hamilton,New Zealand
147,1233960B,2020,Seddon Park,New Zealand,Pakistan,46,1,97,0,21,0,164,1,Pakistan,bat,Hamilton,New Zealand
148,1233974A,2021,Westpac Stadium,Australia,New Zealand,38,1,71,4,47,1,156,6,Australia,bat,Wellington,Australia
148,1233974B,2021,Westpac Stadium,New Zealand,Australia,25,1,56,7,25,2,106,10,Australia,bat,Wellington,Australia
149,1286671A,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Bahamas,Argentina,24,1,79,5,18,2,121,8,Bahamas,bat,North Sound,Bahamas
149,1286671B,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,Bahamas,41,0,38,2,30,2,109,4,Bahamas,bat,North Sound,Bahamas
150,1272096A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,22,2,52,5,19,3,93,10,New Zealand,bat,Dhaka,Bangladesh
150,1272096B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,32,3,42,1,22,0,96,4,New Zealand,bat,Dhaka,Bangladesh
151,1310161A,2022,"Desert Springs Cricket Ground, Almeria",Norway,Guernsey,20,2,61,3,56,2,137,7,Norway,bat,Almeria,Norway
151,1310161B,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Norway,27,1,49,3,24,2,100,6,Norway,bat,Almeria,Norway
152,1283047A,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Sierra Leone,38,2,42,5,16,2,96,9,Mozambique,bat,Kigali City,Sierra Leone
152,1283047B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Mozambique,26,2,56,2,15,0,97,4,Mozambique,bat,Kigali City,Sierra Leone
153,1200428A,2019,"The Village, Malahide",Netherlands,Scotland,47,2,43,4,33,4,123,10,Netherlands,bat,Dublin,Scotland
153,1200428B,2019,"The Village, Malahide",Scotland,Netherlands,48,1,78,3,0,0,126,4,Netherlands,bat,Dublin,Scotland
154,1299584A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman,Nepal,19,3,41,5,27,0,87,8,Oman,bat,Al Amarat,Nepal
154,1299584B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,Oman,40,0,46,1,4,0,90,1,Oman,bat,Al Amarat,Nepal
155,1199528A,2019,Dubai International Cricket Stadium,Scotland,Bermuda,37,1,107,2,60,1,204,4,Bermuda,field,Dubai,Scotland
155,1199528B,2019,Dubai International Cricket Stadium,Bermuda,Scotland,56,2,71,3,31,0,158,5,Bermuda,field,Dubai,Scotland
156,1273149A,2021,Kerava National Cricket Ground,Finland,Sweden,36,2,75,3,34,2,145,7,Sweden,field,Kerava,Sweden
156,1273149B,2021,Kerava National Cricket Ground,Sweden,Finland,71,2,68,2,7,0,146,4,Sweden,field,Kerava,Sweden
157,1275276A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,Hungary,33,1,97,2,40,2,170,5,Hungary,field,Ilfov County,Hungary
157,1275276B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,Malta,53,0,94,1,24,1,171,2,Hungary,field,Ilfov County,Hungary
158,1199500A,2019,Sheikh Zayed Stadium,Hong Kong,Ireland,41,2,83,1,29,2,153,5,Hong Kong,bat,Abu Dhabi,Ireland
158,1199500B,2019,Sheikh Zayed Stadium,Ireland,Hong Kong,48,1,90,1,17,0,155,2,Hong Kong,bat,Abu Dhabi,Ireland
159,439511A,2010,Dubai International Cricket Stadium,Ireland,Afghanistan,49,1,66,5,27,2,142,8,Ireland,bat,,Afghanistan
159,439511B,2010,Dubai International Cricket Stadium,Afghanistan,Ireland,60,1,63,0,24,0,147,1,Ireland,bat,,Afghanistan
160,1199514A,2019,Tolerance Oval,Ireland,Oman,45,1,83,1,55,0,183,2,Oman,field,Abu Dhabi,Ireland
160,1199514B,2019,Tolerance Oval,Oman,Ireland,48,2,77,5,23,2,148,9,Oman,field,Abu Dhabi,Ireland
161,439505A,2010,Dubai International Cricket Stadium,Ireland,Scotland,51,1,58,2,27,2,136,5,Ireland,bat,,Ireland
161,439505B,2010,Dubai International Cricket Stadium,Scotland,Ireland,29,4,65,1,5,4,99,9,Ireland,bat,,Ireland
162,903589A,2015,Barabati Stadium,India,South Africa,35,1,50,7,7,1,92,9,South Africa,field,Cuttack,South Africa
162,903589B,2015,Barabati Stadium,South Africa,India,38,2,45,1,13,0,96,3,South Africa,field,Cuttack,South Africa
163,1327281A,2022,Dubai International Cricket Stadium,Sri Lanka,Pakistan,42,3,78,3,50,0,170,6,Pakistan,field,Dubai,Sri Lanka
163,1327281B,2022,Dubai International Cricket Stadium,Pakistan,Sri Lanka,37,2,73,2,37,6,147,10,Pakistan,field,Dubai,Sri Lanka
164,1168248A,2019,M.Chinnaswamy Stadium,India,Australia,53,0,82,3,55,1,190,4,Australia,field,Bengaluru,Australia
164,1168248B,2019,M.Chinnaswamy Stadium,Australia,India,42,2,105,1,47,0,194,3,Australia,field,Bengaluru,Australia
165,602477A,2013,Pallekele International Cricket Stadium,Sri Lanka,Bangladesh,62,1,72,3,64,1,198,5,Bangladesh,field,,Sri Lanka
165,602477B,2013,Pallekele International Cricket Stadium,Bangladesh,Sri Lanka,45,1,103,3,33,1,181,5,Bangladesh,field,,Sri Lanka
166,662383A,2013,Sharjah Cricket Stadium,Afghanistan,Kenya,48,2,64,1,50,3,162,6,Afghanistan,bat,,Afghanistan
166,662383B,2013,Sharjah Cricket Stadium,Kenya,Afghanistan,21,4,26,4,9,1,56,9,Afghanistan,bat,,Afghanistan
167,1001349A,2017,Melbourne Cricket Ground,Australia,Sri Lanka,47,0,82,3,39,3,168,6,Sri Lanka,field,,Sri Lanka
167,1001349B,2017,Melbourne Cricket Ground,Sri Lanka,Australia,62,1,78,2,32,1,172,4,Sri Lanka,field,,Sri Lanka
168,1284489A,2021,"West End Park International Cricket Stadium, Doha",Maldives,Saudi Arabia,22,2,51,3,25,4,98,9,Maldives,bat,Doha,Saudi Arabia
168,1284489B,2021,"West End Park International Cricket Stadium, Doha",Saudi Arabia,Maldives,49,1,52,2,0,0,101,3,Maldives,bat,Doha,Saudi Arabia
169,1142502A,2018,Hazelaarweg,Ireland,Netherlands,61,1,66,4,31,1,158,6,Ireland,bat,Rotterdam,Netherlands
169,1142502B,2018,Hazelaarweg,Netherlands,Ireland,63,1,70,3,26,2,159,6,Ireland,bat,Rotterdam,Netherlands
170,1144173A,2019,SuperSport Park,South Africa,Sri Lanka,39,1,99,1,42,1,180,3,Sri Lanka,field,Centurion,South Africa
170,1144173B,2019,SuperSport Park,Sri Lanka,South Africa,47,4,62,3,55,2,164,9,Sri Lanka,field,Centurion,South Africa
171,736063A,2015,Kingsmead,South Africa,West Indies,62,0,75,1,58,2,195,3,West Indies,field,Durban,South Africa
171,736063B,2015,Kingsmead,West Indies,South Africa,57,1,55,5,14,4,126,10,West Indies,field,Durban,South Africa
172,1282749A,2021,"Desert Springs Cricket Ground, Almeria",Denmark,Jersey,29,2,58,2,43,1,130,5,Denmark,bat,Almeria,Jersey
172,1282749B,2021,"Desert Springs Cricket Ground, Almeria",Jersey,Denmark,25,3,78,3,28,0,131,6,Denmark,bat,Almeria,Jersey
173,1332505A,2022,"Willowmoore Park, Benoni",Tanzania,Malawi,45,3,90,0,35,4,170,7,Malawi,field,Benoni,Tanzania
173,1332505B,2022,"Willowmoore Park, Benoni",Malawi,Tanzania,44,1,66,2,16,1,126,4,Malawi,field,Benoni,Tanzania
174,573020A,2013,Melbourne Cricket Ground,Sri Lanka,Australia,36,2,74,2,51,0,161,4,Australia,field,,Sri Lanka
174,573020B,2013,Melbourne Cricket Ground,Australia,Sri Lanka,28,1,91,1,0,0,119,2,Australia,field,,Sri Lanka
175,1201681A,2019,Indian Association Ground,Singapore,Nepal,50,1,63,1,38,0,151,2,Singapore,bat,Singapore,Nepal
175,1201681B,2019,Indian Association Ground,Nepal,Singapore,37,0,117,0,0,0,154,0,Singapore,bat,Singapore,Nepal
176,1310940A,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,42,1,60,2,26,3,128,6,Namibia,bat,Bulawayo,Zimbabwe
176,1310940B,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,45,0,64,2,20,0,129,2,Namibia,bat,Bulawayo,Zimbabwe
177,560921A,2012,Central Broward Regional Park Stadium Turf Ground,West Indies,New Zealand,43,1,101,1,65,0,209,2,New Zealand,field,Lauderhill,West Indies
177,560921B,2012,Central Broward Regional Park Stadium Turf Ground,New Zealand,West Indies,51,2,66,5,36,1,153,8,New Zealand,field,Lauderhill,West Indies
178,356010A,2009,Lord's,England,India,40,1,73,1,40,3,153,5,India,field,London,England
178,356010B,2009,Lord's,India,England,36,2,68,3,46,0,150,5,India,field,London,England
179,350475A,2009,New Wanderers Stadium,Australia,South Africa,40,2,76,4,50,1,166,7,South Africa,field,Johannesburg,South Africa
179,350475B,2009,New Wanderers Stadium,South Africa,Australia,48,2,72,3,48,1,168,6,South Africa,field,Johannesburg,South Africa
180,356004A,2009,Trent Bridge,England,South Africa,25,3,68,5,18,2,111,10,England,bat,Nottingham,South Africa
180,356004B,2009,Trent Bridge,South Africa,England,28,1,71,1,15,1,114,3,England,bat,Nottingham,South Africa
181,1257404A,2021,Wanderers,Uganda,Namibia,39,1,53,3,42,1,134,5,Uganda,bat,Windhoek,Namibia
181,1257404B,2021,Wanderers,Namibia,Uganda,53,3,82,0,0,0,135,3,Uganda,bat,Windhoek,Namibia
182,1268192A,2021,Marsa Sports Club,Belgium,Malta,35,1,93,3,44,1,172,5,Belgium,bat,Marsa,Belgium
182,1268192B,2021,Marsa Sports Club,Malta,Belgium,50,0,66,5,17,4,133,9,Belgium,bat,Marsa,Belgium
183,356000A,2009,Lord's,South Africa,New Zealand,47,0,47,5,34,2,128,7,New Zealand,field,London,South Africa
183,356000B,2009,Lord's,New Zealand,South Africa,35,2,54,1,38,2,127,5,New Zealand,field,London,South Africa
184,356014A,2009,Trent Bridge,South Africa,India,47,1,52,2,31,2,130,5,South Africa,bat,Nottingham,South Africa
184,356014B,2009,Trent Bridge,India,South Africa,47,0,43,5,28,3,118,8,South Africa,bat,Nottingham,South Africa
185,1168112A,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Ireland,Afghanistan,37,1,55,3,40,0,132,4,Ireland,bat,Dehra Dun,Afghanistan
185,1168112B,2019,"Rajiv Gandhi International Cricket Stadium, Dehradun",Afghanistan,Ireland,43,4,64,1,29,0,136,5,Ireland,bat,Dehra Dun,Afghanistan
186,1256722A,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,54,2,115,0,55,3,224,5,England,field,Bridgetown,West Indies
186,1256722B,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,61,1,101,4,42,4,204,9,England,field,Bridgetown,West Indies
187,966739A,2016,Khan Shaheb Osman Ali Stadium,Hong Kong,United Arab Emirates,38,1,88,2,20,3,146,6,Hong Kong,bat,Fatullah,United Arab Emirates
187,966739B,2016,Khan Shaheb Osman Ali Stadium,United Arab Emirates,Hong Kong,45,2,75,1,27,1,147,4,Hong Kong,bat,Fatullah,United Arab Emirates
188,1217742A,2020,Terdthai Cricket Ground,Singapore,Malaysia,59,0,111,1,69,2,239,3,Singapore,bat,Bangkok,Singapore
188,1217742B,2020,Terdthai Cricket Ground,Malaysia,Singapore,52,3,59,7,0,0,111,10,Singapore,bat,Bangkok,Singapore
189,1198236A,2020,The Rose Bowl,Australia,England,39,3,71,2,47,2,157,7,Australia,bat,Southampton,England
