,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1389,682905A,2014,Zahur Ahmed Chowdhury Stadium,Hong Kong,Afghanistan,46,1,70,2,37,4,153,7,Hong Kong,bat,Chittagong,Afghanistan
1389,682905B,2014,Zahur Ahmed Chowdhury Stadium,Afghanistan,Hong Kong,38,1,81,2,35,0,154,3,Hong Kong,bat,Chittagong,Afghanistan
1390,954741A,2016,Sheikh Zayed Stadium,Ireland,United Arab Emirates,20,4,70,3,44,0,134,7,United Arab Emirates,field,Abu Dhabi,Ireland
1390,954741B,2016,Sheikh Zayed Stadium,United Arab Emirates,Ireland,31,4,50,3,19,2,100,9,United Arab Emirates,field,Abu Dhabi,Ireland
1391,1332508A,2022,"Willowmoore Park, Benoni",Kenya,Uganda,20,2,72,2,13,4,105,8,Uganda,field,Benoni,Uganda
1391,1332508B,2022,"Willowmoore Park, Benoni",Uganda,Kenya,36,2,47,1,24,2,107,5,Uganda,field,Benoni,Uganda
1392,1299833A,2022,"Shere Bangla National Stadium, Mirpur",Bangladesh,Afghanistan,33,2,66,2,16,4,115,8,Bangladesh,bat,Dhaka,Afghanistan
1392,1299833B,2022,"Shere Bangla National Stadium, Mirpur",Afghanistan,Bangladesh,34,1,71,1,16,0,121,2,Bangladesh,bat,Dhaka,Afghanistan
1393,571148A,2012,Dubai International Cricket Stadium,Australia,Pakistan,32,1,42,4,15,4,89,9,Pakistan,field,,Pakistan
1393,571148B,2012,Dubai International Cricket Stadium,Pakistan,Australia,38,1,52,2,0,0,90,3,Pakistan,field,,Pakistan
1394,1282744A,2021,"Desert Springs Cricket Ground, Almeria",Italy,Denmark,48,0,62,1,31,3,141,4,Denmark,field,Almeria,Italy
1394,1282744B,2021,"Desert Springs Cricket Ground, Almeria",Denmark,Italy,30,1,57,4,45,4,132,9,Denmark,field,Almeria,Italy
1395,439497A,2010,Dubai International Cricket Stadium,Canada,Netherlands,53,2,66,3,23,3,142,8,Canada,bat,,Netherlands
