,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
225,1283043B,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Tanzania,41,2,91,4,23,2,155,8,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
226,1188623A,2019,"Providence Stadium, Guyana",West Indies,India,22,1,86,2,38,1,146,4,India,field,Providence,India,India tour of United States of America and West Indies
226,1188623B,2019,"Providence Stadium, Guyana",India,West Indies,34,2,86,0,30,1,150,3,India,field,Providence,India,India tour of United States of America and West Indies
227,1185313A,2020,Buffalo Park,South Africa,England,68,1,80,3,29,4,177,8,England,field,East London,South Africa,England tour of South Africa
227,1185313B,2020,Buffalo Park,England,South Africa,68,1,71,2,37,5,176,8,England,field,East London,South Africa,England tour of South Africa
228,1283094A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,43,1,56,3,35,4,134,8,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
228,1283094B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,27,0,56,3,15,4,98,7,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria
229,1323550A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,34,2,94,3,24,4,152,9,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia
229,1323550B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,53,0,88,3,14,0,155,3,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia
230,1263160A,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,Australia,81,1,92,4,26,3,199,8,West Indies,bat,Gros Islet,West Indies,Australia tour of West Indies
230,1263160B,2021,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,West Indies,66,2,82,4,35,3,183,9,West Indies,bat,Gros Islet,West Indies,Australia tour of West Indies
231,534233A,2012,Riverside Ground,England,South Africa,40,1,46,5,32,0,118,6,South Africa,field,Chester-le-Street,South Africa,South Africa in England T20I Series
231,534233B,2012,Riverside Ground,South Africa,England,40,2,59,0,20,0,119,2,South Africa,field,Chester-le-Street,South Africa,South Africa in England T20I Series
232,1267306A,2021,"National Sports Academy, Sofia",Serbia,Greece,52,3,68,3,24,4,144,10,Greece,field,Sofia,Greece,Sofia Twenty20
232,1267306B,2021,"National Sports Academy, Sofia",Greece,Serbia,59,2,88,1,0,0,147,3,Greece,field,Sofia,Greece,Sofia Twenty20
233,1323551A,2022,Lisicji Jarak Cricket Ground,Bulgaria,Serbia,15,3,104,3,35,3,154,9,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia
233,1323551B,2022,Lisicji Jarak Cricket Ground,Serbia,Bulgaria,38,1,72,1,47,0,157,2,Serbia,field,Belgrade,Serbia,Bulgaria tour of Serbia
234,1267307A,2021,"National Sports Academy, Sofia",Bulgaria,Romania,55,3,79,3,23,1,157,7,Bulgaria,bat,Sofia,Romania,Sofia Twenty20
234,1267307B,2021,"National Sports Academy, Sofia",Romania,Bulgaria,71,1,90,2,0,0,161,3,Bulgaria,bat,Sofia,Romania,Sofia Twenty20
